City,Airport,IATA Siglum,URL,Latitude,Longitude
Zimbabwe,Bulawayo Joshua Mqabuko Nkomo International Airport,BUQ/FVBU,https://www.flightradar24.com/data/airports/buq,-20.017401,28.617861
Zimbabwe,Harare Robert Gabriel Mugabe International Airport,HRE/FVHA,https://www.flightradar24.com/data/airports/hre,-17.931801,31.09284
Zimbabwe,Victoria Falls Airport,VFA/FVFA,https://www.flightradar24.com/data/airports/vfa,-18.0958,25.839001
Slovenia,Ljubljana Joze Pucnik Airport,LJU/LJLJ,https://www.flightradar24.com/data/airports/lju,46.223679,14.45761
Slovenia,Maribor Airport,MBX/LJMB,https://www.flightradar24.com/data/airports/mbx,46.479858,15.68613
Curacao,Willemstad Curacao Hato International Airport,CUR/TNCC,https://www.flightradar24.com/data/airports/cur,12.18885,-68.959801
Nigeria,Abuja Nnamdi Azikiwe International Airport,ABV/DNAA,https://www.flightradar24.com/data/airports/abv,9.006792,7.263172
Nigeria,Asaba International Airport,ABB/DNAS,https://www.flightradar24.com/data/airports/abb,6.203055,6.667222
Nigeria,Benin Airport,BNI/DNBE,https://www.flightradar24.com/data/airports/bni,6.316981,5.599503
Nigeria,Calabar Margaret Ekpo International Airport,CBQ/DNCA,https://www.flightradar24.com/data/airports/cbq,4.976019,8.347196
Nigeria,Enugu Akanu Ibiam International Airport,ENU/DNEN,https://www.flightradar24.com/data/airports/enu,6.474272,7.561961
Nigeria,Ibadan Airport,IBA/DNIB,https://www.flightradar24.com/data/airports/iba,7.362458,3.978333
Nigeria,Jos Yakubu Gowon Airport,JOS/DNJO,https://www.flightradar24.com/data/airports/jos,9.639828,8.86905
Nigeria,Kaduna Airport,KAD/DNKA,https://www.flightradar24.com/data/airports/kad,10.69602,7.320114
Nigeria,Kano Mallam Aminu International Airport,KAN/DNKN,https://www.flightradar24.com/data/airports/kan,12.04758,8.524622
Nigeria,Lagos Murtala Mohammed Airport,LOS/DNMM,https://www.flightradar24.com/data/airports/los,6.577369,3.321156
Nigeria,Owerri Sam Mbakwe Airport,QOW/DNIM,https://www.flightradar24.com/data/airports/qow,5.427056,7.206031
Nigeria,Port Harcourt International Airport,PHC/DNPO,https://www.flightradar24.com/data/airports/phc,5.015494,6.949594
Nigeria,Uyo Akwa Ibom Airport,QUO/DNAI,https://www.flightradar24.com/data/airports/quo,4.876463,8.085693
Nigeria,Yola Airport,YOL/DNYO,https://www.flightradar24.com/data/airports/yol,9.257553,12.43042
Tajikistan,Dushanbe International Airport,DYU/UTDD,https://www.flightradar24.com/data/airports/dyu,38.543331,68.824997
Tajikistan,Khudzhand Khujand Airport,LBD/UTDL,https://www.flightradar24.com/data/airports/lbd,40.215279,69.694725
Tajikistan,Kulob Airport,TJU/UTDK,https://www.flightradar24.com/data/airports/tju,37.988335,69.805
Tajikistan,Kurgan Tyube Qurghonteppa International Airport,KQT/UTDT,https://www.flightradar24.com/data/airports/kqt,37.859612,68.861168
Israel,Eilat Ramon Airport,ETM/LLER,https://www.flightradar24.com/data/airports/etm,29.723694,35.011417
Israel,Eilat Airport,ETH/LLET,https://www.flightradar24.com/data/airports/eth,29.561279,34.960079
Israel,Haifa Airport,HFA/LLHA,https://www.flightradar24.com/data/airports/hfa,32.809441,35.043049
Israel,Ovda Airport,VDA/LLOV,https://www.flightradar24.com/data/airports/vda,29.94025,34.935848
Israel,Tel Aviv Sde Dov Airport,SDV/LLSD,https://www.flightradar24.com/data/airports/sdv,32.114658,34.78223
Israel,Tel Aviv Ben Gurion International Airport,TLV/LLBG,https://www.flightradar24.com/data/airports/tlv,32.011379,34.886662
